Device,Gender,Age,Clicks,Lead
Mobile,Female,18-24,290,3
Mobile,Male,18-24,129,0
PC,Female,18-24,53,2
PC,Male,18-24,11,2
Tablet,Female,18-24,8,0
Tablet,Male,18-24,4,0
Mobile,Female,25-34,952,35
Mobile,Male,25-34,388,5
PC,Female,25-34,105,4
Tablet,Female,25-34,37,1
PC,Male,25-34,33,5
Tablet,Male,25-34,13,0
Mobile,Female,35-44,1614,63
Mobile,Male,35-44,287,4
PC,Female,35-44,179,11
PC,Male,35-44,45,2
Tablet,Female,35-44,42,0
Tablet,Male,35-44,14,0
Mobile,Female,45-54,566,13
Mobile,Male,45-54,173,3
PC,Female,45-54,104,4
PC,Male,45-54,28,1
Tablet,Female,45-54,20,0
Tablet,Male,45-54,2,0
Mobile,Female,18-,290,0
Mobile,Male,18-,43,0
Tablet,Female,18-,20,0
Tablet,Male,18-,8,0
PC,Female,18-,5,0
Mobile,Female,55+,1357,9
Mobile,Male,55+,265,1
PC,Female,55+,98,3
Tablet,Female,55+,76,0
PC,Male,55+,21,0
Tablet,Male,55+,6,0
